,Run # 0 BSF,Avg BSF
243,2.5933123627464952e-05,2.5933123627464952e-05
244,2.5933123627464952e-05,2.5933123627464952e-05
245,2.593334972761572e-05,2.593334972761572e-05
246,2.593334972761572e-05,2.593334972761572e-05
247,2.593334972761572e-05,2.593334972761572e-05
248,2.603736404067652e-05,2.603736404067652e-05
249,2.603736404067652e-05,2.603736404067652e-05
250,2.603736404067652e-05,2.603736404067652e-05
251,2.611269340815383e-05,2.611269340815383e-05
252,2.6127593940209605e-05,2.6127593940209605e-05
253,2.6217393379295372e-05,2.6217393379295372e-05
254,2.6222022292645266e-05,2.6222022292645266e-05
255,2.6249278824762272e-05,2.6249278824762272e-05
256,2.6249278824762272e-05,2.6249278824762272e-05
257,2.6325612665107174e-05,2.6325612665107174e-05
258,2.6325612665107174e-05,2.6325612665107174e-05
259,2.6325612665107174e-05,2.6325612665107174e-05
260,2.6325612665107174e-05,2.6325612665107174e-05
261,2.6325612665107174e-05,2.6325612665107174e-05
262,2.635798928758441e-05,2.635798928758441e-05
263,2.635798928758441e-05,2.635798928758441e-05
264,2.647451446205923e-05,2.647451446205923e-05
265,2.647451446205923e-05,2.647451446205923e-05
266,2.647451446205923e-05,2.647451446205923e-05
267,2.6480117346731857e-05,2.6480117346731857e-05
268,2.6480117346731857e-05,2.6480117346731857e-05
269,2.6480117346731857e-05,2.6480117346731857e-05
270,2.656275007495732e-05,2.656275007495732e-05
271,2.6623588208684735e-05,2.6623588208684735e-05
272,2.6623588208684735e-05,2.6623588208684735e-05
273,2.6623588208684735e-05,2.6623588208684735e-05
274,2.6623588208684735e-05,2.6623588208684735e-05
275,2.669346311478612e-05,2.669346311478612e-05
276,2.6780568951931704e-05,2.6780568951931704e-05
277,2.6741769738692524e-05,2.6741769738692524e-05
278,2.6808126213868958e-05,2.6808126213868958e-05
279,2.6808126213868958e-05,2.6808126213868958e-05
280,2.6808126213868958e-05,2.6808126213868958e-05
281,2.6808126213868958e-05,2.6808126213868958e-05
282,2.6808126213868958e-05,2.6808126213868958e-05
283,2.684270967009068e-05,2.684270967009068e-05
284,2.684270967009068e-05,2.684270967009068e-05
285,2.684270967009068e-05,2.684270967009068e-05
286,2.684270967009068e-05,2.684270967009068e-05
287,2.684270967009068e-05,2.684270967009068e-05
288,2.684270967009068e-05,2.684270967009068e-05
289,2.687662848968957e-05,2.687662848968957e-05
290,2.687662848968957e-05,2.687662848968957e-05
291,2.687662848968957e-05,2.687662848968957e-05
292,2.687662848968957e-05,2.687662848968957e-05
293,2.687662848968957e-05,2.687662848968957e-05
294,2.687662848968957e-05,2.687662848968957e-05
295,2.6964935812256772e-05,2.6964935812256772e-05
296,2.699392014088007e-05,2.699392014088007e-05
297,2.699392014088007e-05,2.699392014088007e-05
298,2.699392014088007e-05,2.699392014088007e-05
299,2.699392014088007e-05,2.699392014088007e-05
300,2.699392014088007e-05,2.699392014088007e-05
301,2.7165945701129896e-05,2.7165945701129896e-05
302,2.7165945701129896e-05,2.7165945701129896e-05
303,2.7165945701129896e-05,2.7165945701129896e-05
304,2.7165945701129896e-05,2.7165945701129896e-05
305,2.7165945701129896e-05,2.7165945701129896e-05
306,2.7165945701129896e-05,2.7165945701129896e-05
307,2.7178756342453192e-05,2.7178756342453192e-05
308,2.7178756342453192e-05,2.7178756342453192e-05
309,2.7178756342453192e-05,2.7178756342453192e-05
310,2.7178756342453192e-05,2.7178756342453192e-05
311,2.722261604898629e-05,2.722261604898629e-05
312,2.722261604898629e-05,2.722261604898629e-05
313,2.722261604898629e-05,2.722261604898629e-05
314,2.725340856522271e-05,2.725340856522271e-05
315,2.725340856522271e-05,2.725340856522271e-05
316,2.725340856522271e-05,2.725340856522271e-05
317,2.725340856522271e-05,2.725340856522271e-05
318,2.725340856522271e-05,2.725340856522271e-05
319,2.725340856522271e-05,2.725340856522271e-05
320,2.725340856522271e-05,2.725340856522271e-05
321,2.725340856522271e-05,2.725340856522271e-05
322,2.725340856522271e-05,2.725340856522271e-05
323,2.725340856522271e-05,2.725340856522271e-05
324,2.726610252214533e-05,2.726610252214533e-05
325,2.751810613373733e-05,2.751810613373733e-05
326,2.751810613373733e-05,2.751810613373733e-05
327,2.751810613373733e-05,2.751810613373733e-05
328,2.751810613373733e-05,2.751810613373733e-05
329,2.751810613373733e-05,2.751810613373733e-05
330,2.751810613373733e-05,2.751810613373733e-05
331,2.751810613373733e-05,2.751810613373733e-05
332,2.7536991015344977e-05,2.7536991015344977e-05
333,2.7536991015344977e-05,2.7536991015344977e-05
334,2.7536991015344977e-05,2.7536991015344977e-05
335,2.7590822112668176e-05,2.7590822112668176e-05
336,2.7590822112668176e-05,2.7590822112668176e-05
337,2.7590822112668176e-05,2.7590822112668176e-05
338,2.7590822112668176e-05,2.7590822112668176e-05
339,2.7590897933409524e-05,2.7590897933409524e-05
340,2.7590897933409524e-05,2.7590897933409524e-05
341,2.7590897933409524e-05,2.7590897933409524e-05
342,2.7628381005938768e-05,2.7628381005938768e-05
343,2.7628381005938768e-05,2.7628381005938768e-05
344,2.766246958810852e-05,2.766246958810852e-05
345,2.766246958810852e-05,2.766246958810852e-05
346,2.766246958810852e-05,2.766246958810852e-05
347,2.766246958810852e-05,2.766246958810852e-05
348,2.7731976543021437e-05,2.7731976543021437e-05
349,2.774542412519837e-05,2.774542412519837e-05
350,2.7731976543021437e-05,2.7731976543021437e-05
351,2.7731976543021437e-05,2.7731976543021437e-05
352,2.7737053772592043e-05,2.7737053772592043e-05
353,2.7737053772592043e-05,2.7737053772592043e-05
354,2.774731603858548e-05,2.774731603858548e-05
355,2.7774603034493355e-05,2.7774603034493355e-05
356,2.7774603034493355e-05,2.7774603034493355e-05
357,2.7875650710678716e-05,2.7875650710678716e-05
358,2.80413023058705e-05,2.80413023058705e-05
359,2.80413023058705e-05,2.80413023058705e-05
360,2.80413023058705e-05,2.80413023058705e-05
361,2.8133770314239482e-05,2.8133770314239482e-05
362,2.8133770314239482e-05,2.8133770314239482e-05
363,2.8133770314239482e-05,2.8133770314239482e-05
364,2.8133770314239482e-05,2.8133770314239482e-05
365,2.8133770314239482e-05,2.8133770314239482e-05
366,2.8189435654611186e-05,2.8189435654611186e-05
367,2.8189435654611186e-05,2.8189435654611186e-05
368,2.8189435654611186e-05,2.8189435654611186e-05
369,2.8197039989595885e-05,2.8197039989595885e-05
370,2.8197039989595885e-05,2.8197039989595885e-05
371,2.8197039989595885e-05,2.8197039989595885e-05
372,2.8233512659028146e-05,2.8233512659028146e-05
373,2.8233512659028146e-05,2.8233512659028146e-05
374,2.8233512659028146e-05,2.8233512659028146e-05
375,2.8233512659028146e-05,2.8233512659028146e-05
376,2.8233512659028146e-05,2.8233512659028146e-05
377,2.828666270709901e-05,2.828666270709901e-05
378,2.828666270709901e-05,2.828666270709901e-05
379,2.828666270709901e-05,2.828666270709901e-05
380,2.8314309140783336e-05,2.8314309140783336e-05
381,2.8314309140783336e-05,2.8314309140783336e-05
382,2.8314309140783336e-05,2.8314309140783336e-05
383,2.8332208914061857e-05,2.8332208914061857e-05
384,2.8323852497191813e-05,2.8323852497191813e-05
385,2.8323852497191813e-05,2.8323852497191813e-05
386,2.862617628939198e-05,2.862617628939198e-05
387,2.862617628939198e-05,2.862617628939198e-05
388,2.896574397519925e-05,2.896574397519925e-05
389,2.8967774289927875e-05,2.8967774289927875e-05
390,2.8990870786009924e-05,2.8990870786009924e-05
391,2.904738856188643e-05,2.904738856188643e-05
392,2.904738856188643e-05,2.904738856188643e-05
393,2.904738856188643e-05,2.904738856188643e-05
394,2.905259472108836e-05,2.905259472108836e-05
395,2.9089333998234803e-05,2.9089333998234803e-05
396,2.9089333998234803e-05,2.9089333998234803e-05
397,2.9177551761629196e-05,2.9177551761629196e-05
398,2.9177551761629196e-05,2.9177551761629196e-05
399,2.9213570602496225e-05,2.9213570602496225e-05
400,2.9213570602496225e-05,2.9213570602496225e-05
401,2.9213570602496225e-05,2.9213570602496225e-05
402,2.9213570602496225e-05,2.9213570602496225e-05
403,2.9213570602496225e-05,2.9213570602496225e-05
404,2.9213570602496225e-05,2.9213570602496225e-05
405,2.9213570602496225e-05,2.9213570602496225e-05
406,2.9213570602496225e-05,2.9213570602496225e-05
407,2.9213570602496225e-05,2.9213570602496225e-05
408,2.9213570602496225e-05,2.9213570602496225e-05
409,2.9213570602496225e-05,2.9213570602496225e-05
410,2.9213570602496225e-05,2.9213570602496225e-05
411,2.9213570602496225e-05,2.9213570602496225e-05
412,2.9278825298968885e-05,2.9278825298968885e-05
413,2.9278825298968885e-05,2.9278825298968885e-05
414,2.938447585327624e-05,2.938447585327624e-05
415,2.938447585327624e-05,2.938447585327624e-05
416,2.9387344948166394e-05,2.9387344948166394e-05
417,2.9414513792996047e-05,2.9414513792996047e-05
418,2.9414513792996047e-05,2.9414513792996047e-05
419,2.944130801481183e-05,2.944130801481183e-05
420,2.944130801481183e-05,2.944130801481183e-05
421,2.9549012360333868e-05,2.9549012360333868e-05
422,2.9549012360333868e-05,2.9549012360333868e-05
423,2.956249522776451e-05,2.956249522776451e-05
424,2.956249522776451e-05,2.956249522776451e-05
425,2.956249522776451e-05,2.956249522776451e-05
426,2.956603086386167e-05,2.956603086386167e-05
427,2.956603086386167e-05,2.956603086386167e-05
428,2.9611201580743347e-05,2.9611201580743347e-05
429,2.9611201580743347e-05,2.9611201580743347e-05
430,2.9611201580743347e-05,2.9611201580743347e-05
431,2.9611201580743347e-05,2.9611201580743347e-05
432,2.9611201580743347e-05,2.9611201580743347e-05
433,2.9708787664098317e-05,2.9708787664098317e-05
434,2.9708787664098317e-05,2.9708787664098317e-05
435,2.9708787664098317e-05,2.9708787664098317e-05
436,2.9708787664098317e-05,2.9708787664098317e-05
437,2.9708787664098317e-05,2.9708787664098317e-05
438,2.9708787664098317e-05,2.9708787664098317e-05
439,2.9708787664098317e-05,2.9708787664098317e-05
440,2.9711912794204548e-05,2.9711912794204548e-05
441,2.9711912794204548e-05,2.9711912794204548e-05
442,2.9814881786943166e-05,2.9814881786943166e-05
443,2.9814881786943166e-05,2.9814881786943166e-05
444,2.98372417274284e-05,2.98372417274284e-05
445,2.98372417274284e-05,2.98372417274284e-05
446,2.98372417274284e-05,2.98372417274284e-05
447,2.98372417274284e-05,2.98372417274284e-05
448,2.9877164919425307e-05,2.9877164919425307e-05
449,2.9877164919425307e-05,2.9877164919425307e-05
450,2.987999487045998e-05,2.987999487045998e-05
451,2.987999487045998e-05,2.987999487045998e-05
452,2.989293518897897e-05,2.989293518897897e-05
453,2.989293518897897e-05,2.989293518897897e-05
454,2.9903632700667155e-05,2.9903632700667155e-05
455,2.9903632700667155e-05,2.9903632700667155e-05
456,3.0224457934805067e-05,3.0224457934805067e-05
457,3.0228055919821903e-05,3.0228055919821903e-05
458,3.0228055919821903e-05,3.0228055919821903e-05
459,3.0228055919821903e-05,3.0228055919821903e-05
460,3.0228055919821903e-05,3.0228055919821903e-05
461,3.0228055919821903e-05,3.0228055919821903e-05
462,3.0228055919821903e-05,3.0228055919821903e-05
463,3.0228055919821903e-05,3.0228055919821903e-05
464,3.0251631437749678e-05,3.0251631437749678e-05
465,3.0251631437749678e-05,3.0251631437749678e-05
466,3.0251631437749678e-05,3.0251631437749678e-05
467,3.026892330360551e-05,3.026892330360551e-05
468,3.033032435839526e-05,3.033032435839526e-05
469,3.033032435839526e-05,3.033032435839526e-05
470,3.033032435839526e-05,3.033032435839526e-05
471,3.033032435839526e-05,3.033032435839526e-05
472,3.033032435839526e-05,3.033032435839526e-05
473,3.033852079673681e-05,3.033852079673681e-05
474,3.033852079673681e-05,3.033852079673681e-05
475,3.033852079673681e-05,3.033852079673681e-05
476,3.033852079673681e-05,3.033852079673681e-05
477,3.040661262261354e-05,3.040661262261354e-05
478,3.040661262261354e-05,3.040661262261354e-05
479,3.040661262261354e-05,3.040661262261354e-05
480,3.042253504787779e-05,3.042253504787779e-05
481,3.042253504787779e-05,3.042253504787779e-05
482,3.043258132129743e-05,3.043258132129743e-05
483,3.0494913381660243e-05,3.0494913381660243e-05
484,3.0494913381660243e-05,3.0494913381660243e-05
485,3.0623335237423245e-05,3.0623335237423245e-05
486,3.0623335237423245e-05,3.0623335237423245e-05
487,3.0623335237423245e-05,3.0623335237423245e-05
488,3.0623335237423245e-05,3.0623335237423245e-05
489,3.0623335237423245e-05,3.0623335237423245e-05
490,3.0623335237423245e-05,3.0623335237423245e-05
491,3.0623335237423245e-05,3.0623335237423245e-05
492,3.0623335237423245e-05,3.0623335237423245e-05
493,3.0623335237423245e-05,3.0623335237423245e-05
494,3.079586970590381e-05,3.079586970590381e-05
495,3.079586970590381e-05,3.079586970590381e-05
496,3.079586970590381e-05,3.079586970590381e-05
497,3.0808437474758886e-05,3.0808437474758886e-05
498,3.0808437474758886e-05,3.0808437474758886e-05
499,3.081502523305527e-05,3.081502523305527e-05
500,3.081502523305527e-05,3.081502523305527e-05
501,3.081502523305527e-05,3.081502523305527e-05
502,3.081502523305527e-05,3.081502523305527e-05
503,3.0887131041817714e-05,3.0887131041817714e-05
504,3.0918145337404313e-05,3.0918145337404313e-05
505,3.0918145337404313e-05,3.0918145337404313e-05
506,3.0918145337404313e-05,3.0918145337404313e-05
507,3.0967524631941524e-05,3.0967524631941524e-05
508,3.0967524631941524e-05,3.0967524631941524e-05
509,3.101783772869022e-05,3.101783772869022e-05
510,3.1470206219447994e-05,3.1470206219447994e-05
511,3.1470206219447994e-05,3.1470206219447994e-05
512,3.1470206219447994e-05,3.1470206219447994e-05
513,3.1470206219447994e-05,3.1470206219447994e-05
514,3.1470206219447994e-05,3.1470206219447994e-05
515,3.156440648275033e-05,3.156440648275033e-05
516,3.156440648275033e-05,3.156440648275033e-05
517,3.156440648275033e-05,3.156440648275033e-05
518,3.1566967508210005e-05,3.1566967508210005e-05
519,3.1566967508210005e-05,3.1566967508210005e-05
520,3.1566967508210005e-05,3.1566967508210005e-05
521,3.1566967508210005e-05,3.1566967508210005e-05
522,3.1566967508210005e-05,3.1566967508210005e-05
523,3.1571124512979517e-05,3.1571124512979517e-05
524,3.1571124512979517e-05,3.1571124512979517e-05
525,3.1571124512979517e-05,3.1571124512979517e-05
526,3.1571124512979517e-05,3.1571124512979517e-05
527,3.1571124512979517e-05,3.1571124512979517e-05
528,3.1571124512979517e-05,3.1571124512979517e-05
529,3.1571124512979517e-05,3.1571124512979517e-05
530,3.163000754380867e-05,3.163000754380867e-05
531,3.163000754380867e-05,3.163000754380867e-05
532,3.163000754380867e-05,3.163000754380867e-05
533,3.163000754380867e-05,3.163000754380867e-05
534,3.163000754380867e-05,3.163000754380867e-05
535,3.163000754380867e-05,3.163000754380867e-05
536,3.1639616108136886e-05,3.1639616108136886e-05
537,3.1639616108136886e-05,3.1639616108136886e-05
538,3.1639616108136886e-05,3.1639616108136886e-05
539,3.1639616108136886e-05,3.1639616108136886e-05
540,3.1644120118020155e-05,3.1644120118020155e-05
541,3.1644120118020155e-05,3.1644120118020155e-05
542,3.164449998474964e-05,3.164449998474964e-05
543,3.164449998474964e-05,3.164449998474964e-05
544,3.164449998474964e-05,3.164449998474964e-05
545,3.16679264763021e-05,3.16679264763021e-05
546,3.16679264763021e-05,3.16679264763021e-05
547,3.16679264763021e-05,3.16679264763021e-05
548,3.172612217111689e-05,3.172612217111689e-05
549,3.172612217111689e-05,3.172612217111689e-05
550,3.172612217111689e-05,3.172612217111689e-05
551,3.1740208262804576e-05,3.1740208262804576e-05
552,3.1740208262804576e-05,3.1740208262804576e-05
