,Run # 0 ASF,Avg ASF
447,2.9837241727428414e-05,2.9837241727428414e-05
448,2.9877164919425317e-05,2.9877164919425317e-05
449,2.9877164919425317e-05,2.9877164919425317e-05
450,2.9877636577931097e-05,2.9877636577931097e-05
451,2.987999487045999e-05,2.987999487045999e-05
452,2.9880857558361255e-05,2.9880857558361255e-05
453,2.989293518897899e-05,2.989293518897899e-05
454,2.9900066863437775e-05,2.9900066863437775e-05
455,2.990363270066718e-05,2.990363270066718e-05
456,3.0224457934805043e-05,3.0224457934805043e-05
457,3.0226256927313482e-05,3.0226256927313482e-05
458,3.0228055919821917e-05,3.0228055919821917e-05
459,3.0228055919821917e-05,3.0228055919821917e-05
460,3.0228055919821917e-05,3.0228055919821917e-05
461,3.0208212099165284e-05,3.0208212099165284e-05
462,3.0228055919821917e-05,3.0228055919821917e-05
463,3.0228055919821917e-05,3.0228055919821917e-05
464,3.025163143774966e-05,3.025163143774966e-05
465,3.025163143774966e-05,3.025163143774966e-05
466,3.025163143774966e-05,3.025163143774966e-05
467,3.0268923303605513e-05,3.0268923303605513e-05
468,3.0284341180644622e-05,3.0284341180644622e-05
469,3.033032435839525e-05,3.033032435839525e-05
470,3.033032435839525e-05,3.033032435839525e-05
471,3.033032435839525e-05,3.033032435839525e-05
472,3.033032435839525e-05,3.033032435839525e-05
473,3.033578865062295e-05,3.033578865062295e-05
474,3.03385207967368e-05,3.03385207967368e-05
475,3.03385207967368e-05,3.03385207967368e-05
476,3.03385207967368e-05,3.03385207967368e-05
477,3.034079052426602e-05,3.034079052426602e-05
478,3.0406612622613527e-05,3.0406612622613527e-05
479,3.0406612622613527e-05,3.0406612622613527e-05
480,3.0407674117631147e-05,3.0407674117631147e-05
481,3.042253504787778e-05,3.042253504787778e-05
482,3.0423539675219742e-05,3.0423539675219742e-05
483,3.0461669616133425e-05,3.0461669616133425e-05
484,3.0494913381660256e-05,3.0494913381660256e-05
485,3.0623335237423245e-05,3.0623335237423245e-05
486,3.0623335237423245e-05,3.0623335237423245e-05
487,3.0623335237423245e-05,3.0623335237423245e-05
488,3.05967063611059e-05,3.05967063611059e-05
489,3.0623335237423245e-05,3.0623335237423245e-05
490,3.0623335237423245e-05,3.0623335237423245e-05
491,3.0623335237423245e-05,3.0623335237423245e-05
492,3.0623335237423245e-05,3.0623335237423245e-05
493,3.0623335237423245e-05,3.0623335237423245e-05
494,3.06405886842713e-05,3.06405886842713e-05
495,3.078564903660909e-05,3.078564903660909e-05
496,3.07958697059038e-05,3.07958697059038e-05
497,3.079880218530332e-05,3.079880218530332e-05
498,3.080197339830994e-05,3.080197339830994e-05
499,3.081063339419102e-05,3.081063339419102e-05
500,3.081502523305526e-05,3.081502523305526e-05
501,3.081502523305526e-05,3.081502523305526e-05
502,3.081502523305526e-05,3.081502523305526e-05
503,3.08222358139315e-05,3.08222358139315e-05
504,3.089126628122928e-05,3.089126628122928e-05
505,3.091814533740433e-05,3.091814533740433e-05
506,3.091814533740433e-05,3.091814533740433e-05
507,3.093789705521921e-05,3.093789705521921e-05
508,3.0967524631941524e-05,3.0967524631941524e-05
509,3.10178377286902e-05,3.10178377286902e-05
510,3.1047995628074054e-05,3.1047995628074054e-05
511,3.1470206219448e-05,3.1470206219448e-05
512,3.1470206219448e-05,3.1470206219448e-05
513,3.1470206219448e-05,3.1470206219448e-05
514,3.1470206219448e-05,3.1470206219448e-05
515,3.147648623700149e-05,3.147648623700149e-05
516,3.156440648275033e-05,3.156440648275033e-05
517,3.156440648275033e-05,3.156440648275033e-05
518,3.1565174790388225e-05,3.1565174790388225e-05
519,3.1566967508209984e-05,3.1566967508209984e-05
520,3.1566967508209984e-05,3.1566967508209984e-05
521,3.1566967508209984e-05,3.1566967508209984e-05
522,3.1566967508209984e-05,3.1566967508209984e-05
523,3.156752177551259e-05,3.156752177551259e-05
524,3.157112451297953e-05,3.157112451297953e-05
525,3.157112451297953e-05,3.157112451297953e-05
526,3.157112451297953e-05,3.157112451297953e-05
527,3.157112451297953e-05,3.157112451297953e-05
528,3.157112451297953e-05,3.157112451297953e-05
529,3.157112451297953e-05,3.157112451297953e-05
530,3.1602528796088406e-05,3.1602528796088406e-05
531,3.163000754380864e-05,3.163000754380864e-05
532,3.163000754380864e-05,3.163000754380864e-05
533,3.1541177014285596e-05,3.1541177014285596e-05
534,3.163000754380864e-05,3.163000754380864e-05
535,3.163000754380864e-05,3.163000754380864e-05
536,3.16319292566743e-05,3.16319292566743e-05
537,3.16396161081369e-05,3.16396161081369e-05
538,3.16396161081369e-05,3.16396161081369e-05
539,3.16396161081369e-05,3.16396161081369e-05
540,3.164186811307853e-05,3.164186811307853e-05
541,3.1644120118020176e-05,3.1644120118020176e-05
542,3.1644499984749624e-05,3.1644499984749624e-05
543,3.1644499984749624e-05,3.1644499984749624e-05
544,3.1644499984749624e-05,3.1644499984749624e-05
545,3.166089852883637e-05,3.166089852883637e-05
546,3.162363351245114e-05,3.162363351245114e-05
547,3.166792647630212e-05,3.166792647630212e-05
548,3.167956561526507e-05,3.167956561526507e-05
549,3.17261221711169e-05,3.17261221711169e-05
550,3.17261221711169e-05,3.17261221711169e-05
551,3.174020826280459e-05,3.174020826280459e-05
